0, tensor(49.0800, device='cuda:0'), tensor(92.8900, device='cuda:0')
0, tensor(49., device='cuda:0'), tensor(92.7900, device='cuda:0')
0, tensor(48.7900, device='cuda:0'), tensor(92.8200, device='cuda:0')
0, tensor(48.7700, device='cuda:0'), tensor(92.7900, device='cuda:0')
0, tensor(48.7300, device='cuda:0'), tensor(92.8400, device='cuda:0')
0, tensor(48.7900, device='cuda:0'), tensor(92.8200, device='cuda:0')
0, tensor(48.7600, device='cuda:0'), tensor(92.8900, device='cuda:0')
0, tensor(48.9900, device='cuda:0'), tensor(92.8500, device='cuda:0')
0, tensor(49.0500, device='cuda:0'), tensor(92.8500, device='cuda:0')
0, tensor(48.7400, device='cuda:0'), tensor(92.7900, device='cuda:0')
0, tensor(48.6500, device='cuda:0'), tensor(92.8700, device='cuda:0')
0, tensor(48.6000, device='cuda:0'), tensor(92.8900, device='cuda:0')
0, tensor(48.6000, device='cuda:0'), tensor(92.8800, device='cuda:0')
0, tensor(48.8500, device='cuda:0'), tensor(92.7900, device='cuda:0')
0, tensor(48.6700, device='cuda:0'), tensor(92.9500, device='cuda:0')
0, tensor(48.9600, device='cuda:0'), tensor(92.8800, device='cuda:0')
0, tensor(48.7700, device='cuda:0'), tensor(92.8600, device='cuda:0')
0, tensor(48.5200, device='cuda:0'), tensor(92.8300, device='cuda:0')
0, tensor(48.6000, device='cuda:0'), tensor(92.8600, device='cuda:0')
0, tensor(48.1900, device='cuda:0'), tensor(92.7600, device='cuda:0')
0, tensor(48.2200, device='cuda:0'), tensor(92.6600, device='cuda:0')
0, tensor(48.8000, device='cuda:0'), tensor(92.7600, device='cuda:0')
0, tensor(48.5000, device='cuda:0'), tensor(92.7400, device='cuda:0')
0, tensor(48.7600, device='cuda:0'), tensor(92.8400, device='cuda:0')
0, tensor(48.6300, device='cuda:0'), tensor(92.8300, device='cuda:0')
0, tensor(48.4900, device='cuda:0'), tensor(92.6400, device='cuda:0')
0, tensor(48.6600, device='cuda:0'), tensor(92.8400, device='cuda:0')
0, tensor(48.2900, device='cuda:0'), tensor(92.7300, device='cuda:0')
0, tensor(47.9900, device='cuda:0'), tensor(92.6400, device='cuda:0')
0, tensor(48.6800, device='cuda:0'), tensor(92.6800, device='cuda:0')
0, tensor(48.5100, device='cuda:0'), tensor(92.7700, device='cuda:0')
0, tensor(48.9000, device='cuda:0'), tensor(92.8600, device='cuda:0')
0, tensor(48.6900, device='cuda:0'), tensor(92.7300, device='cuda:0')
0, tensor(48.6900, device='cuda:0'), tensor(92.6800, device='cuda:0')
0, tensor(48.6500, device='cuda:0'), tensor(92.8400, device='cuda:0')
0, tensor(48.6300, device='cuda:0'), tensor(92.8000, device='cuda:0')
0, tensor(48.8000, device='cuda:0'), tensor(92.7900, device='cuda:0')
0, tensor(48.6600, device='cuda:0'), tensor(92.7000, device='cuda:0')
0, tensor(48.4300, device='cuda:0'), tensor(92.7600, device='cuda:0')
0, tensor(48.8300, device='cuda:0'), tensor(92.8300, device='cuda:0')
0, tensor(48.6700, device='cuda:0'), tensor(92.8600, device='cuda:0')
0, tensor(48.6500, device='cuda:0'), tensor(92.6500, device='cuda:0')
0, tensor(48.6700, device='cuda:0'), tensor(92.7400, device='cuda:0')
0, tensor(48.1100, device='cuda:0'), tensor(92.7400, device='cuda:0')
0, tensor(48.5500, device='cuda:0'), tensor(92.8700, device='cuda:0')
0, tensor(48.4500, device='cuda:0'), tensor(92.8400, device='cuda:0')
0, tensor(48.5600, device='cuda:0'), tensor(92.7200, device='cuda:0')
0, tensor(48.7800, device='cuda:0'), tensor(92.7600, device='cuda:0')
0, tensor(48.8600, device='cuda:0'), tensor(92.8200, device='cuda:0')
0, tensor(48.8300, device='cuda:0'), tensor(92.8300, device='cuda:0')
0, tensor(48.6000, device='cuda:0'), tensor(92.6900, device='cuda:0')
0, tensor(48.6300, device='cuda:0'), tensor(92.8700, device='cuda:0')
0, tensor(49.0700, device='cuda:0'), tensor(92.8500, device='cuda:0')
0, tensor(48.8500, device='cuda:0'), tensor(92.9300, device='cuda:0')
0, tensor(48.6500, device='cuda:0'), tensor(92.9200, device='cuda:0')
0, tensor(48.8300, device='cuda:0'), tensor(92.8800, device='cuda:0')
0, tensor(48.9700, device='cuda:0'), tensor(92.9700, device='cuda:0')
0, tensor(48.7400, device='cuda:0'), tensor(92.9300, device='cuda:0')
0, tensor(48.7800, device='cuda:0'), tensor(92.8600, device='cuda:0')
0, tensor(48.9200, device='cuda:0'), tensor(92.8800, device='cuda:0')
0, tensor(48.9200, device='cuda:0'), tensor(92.7900, device='cuda:0')
0, tensor(48.9100, device='cuda:0'), tensor(92.9300, device='cuda:0')
0, tensor(49.0400, device='cuda:0'), tensor(92.9200, device='cuda:0')
0, tensor(49.0400, device='cuda:0'), tensor(92.9400, device='cuda:0')
