0, tensor(75.9140, device='cuda:0'), tensor(92.8380, device='cuda:0')
0, tensor(75.6140, device='cuda:0'), tensor(92.7180, device='cuda:0')
0, tensor(75.4480, device='cuda:0'), tensor(92.6400, device='cuda:0')
0, tensor(75.4040, device='cuda:0'), tensor(92.5700, device='cuda:0')
0, tensor(75.4460, device='cuda:0'), tensor(92.5460, device='cuda:0')
0, tensor(75.5020, device='cuda:0'), tensor(92.5860, device='cuda:0')
0, tensor(75.6440, device='cuda:0'), tensor(92.7060, device='cuda:0')
0, tensor(75.9100, device='cuda:0'), tensor(92.7920, device='cuda:0')
0, tensor(75.7600, device='cuda:0'), tensor(92.7120, device='cuda:0')
0, tensor(75.4960, device='cuda:0'), tensor(92.6140, device='cuda:0')
0, tensor(75.3040, device='cuda:0'), tensor(92.5260, device='cuda:0')
0, tensor(75.1760, device='cuda:0'), tensor(92.3320, device='cuda:0')
0, tensor(75.1360, device='cuda:0'), tensor(92.4240, device='cuda:0')
0, tensor(75.1700, device='cuda:0'), tensor(92.5080, device='cuda:0')
0, tensor(75.4880, device='cuda:0'), tensor(92.6080, device='cuda:0')
0, tensor(75.7920, device='cuda:0'), tensor(92.7160, device='cuda:0')
0, tensor(75.4940, device='cuda:0'), tensor(92.6380, device='cuda:0')
0, tensor(75.2880, device='cuda:0'), tensor(92.5020, device='cuda:0')
0, tensor(75., device='cuda:0'), tensor(92.2600, device='cuda:0')
0, tensor(74.3780, device='cuda:0'), tensor(92.0680, device='cuda:0')
0, tensor(74.4780, device='cuda:0'), tensor(92.0140, device='cuda:0')
0, tensor(74.8340, device='cuda:0'), tensor(92.3460, device='cuda:0')
0, tensor(75.3780, device='cuda:0'), tensor(92.5200, device='cuda:0')
0, tensor(75.6480, device='cuda:0'), tensor(92.7080, device='cuda:0')
0, tensor(75.5880, device='cuda:0'), tensor(92.6680, device='cuda:0')
0, tensor(75.1880, device='cuda:0'), tensor(92.4820, device='cuda:0')
0, tensor(74.7100, device='cuda:0'), tensor(92.1580, device='cuda:0')
0, tensor(73.9740, device='cuda:0'), tensor(91.7840, device='cuda:0')
0, tensor(74.1740, device='cuda:0'), tensor(91.8360, device='cuda:0')
0, tensor(74.6180, device='cuda:0'), tensor(92.1160, device='cuda:0')
0, tensor(75.2160, device='cuda:0'), tensor(92.3540, device='cuda:0')
0, tensor(75.5760, device='cuda:0'), tensor(92.5820, device='cuda:0')
0, tensor(75.5080, device='cuda:0'), tensor(92.6560, device='cuda:0')
0, tensor(75.1340, device='cuda:0'), tensor(92.3760, device='cuda:0')
0, tensor(74.7440, device='cuda:0'), tensor(92.0540, device='cuda:0')
0, tensor(74.2080, device='cuda:0'), tensor(91.8820, device='cuda:0')
0, tensor(74.0720, device='cuda:0'), tensor(91.8600, device='cuda:0')
0, tensor(74.6700, device='cuda:0'), tensor(92.0560, device='cuda:0')
0, tensor(75.0940, device='cuda:0'), tensor(92.4160, device='cuda:0')
0, tensor(75.6020, device='cuda:0'), tensor(92.5700, device='cuda:0')
0, tensor(75.6580, device='cuda:0'), tensor(92.6680, device='cuda:0')
0, tensor(75.3620, device='cuda:0'), tensor(92.5200, device='cuda:0')
0, tensor(74.9380, device='cuda:0'), tensor(92.3120, device='cuda:0')
0, tensor(74.8000, device='cuda:0'), tensor(92.2220, device='cuda:0')
0, tensor(74.6680, device='cuda:0'), tensor(92.2140, device='cuda:0')
0, tensor(74.9940, device='cuda:0'), tensor(92.2800, device='cuda:0')
0, tensor(75.3660, device='cuda:0'), tensor(92.5260, device='cuda:0')
0, tensor(75.7520, device='cuda:0'), tensor(92.7020, device='cuda:0')
0, tensor(75.7440, device='cuda:0'), tensor(92.7280, device='cuda:0')
0, tensor(75.5040, device='cuda:0'), tensor(92.5920, device='cuda:0')
0, tensor(75.3680, device='cuda:0'), tensor(92.4820, device='cuda:0')
0, tensor(75.2240, device='cuda:0'), tensor(92.5060, device='cuda:0')
0, tensor(75.2080, device='cuda:0'), tensor(92.4460, device='cuda:0')
0, tensor(75.3420, device='cuda:0'), tensor(92.4760, device='cuda:0')
0, tensor(75.5980, device='cuda:0'), tensor(92.6300, device='cuda:0')
0, tensor(75.8060, device='cuda:0'), tensor(92.7620, device='cuda:0')
0, tensor(75.9180, device='cuda:0'), tensor(92.8540, device='cuda:0')
0, tensor(75.7580, device='cuda:0'), tensor(92.7740, device='cuda:0')
0, tensor(75.6400, device='cuda:0'), tensor(92.6880, device='cuda:0')
0, tensor(75.5860, device='cuda:0'), tensor(92.6300, device='cuda:0')
0, tensor(75.6520, device='cuda:0'), tensor(92.6980, device='cuda:0')
0, tensor(75.7060, device='cuda:0'), tensor(92.6440, device='cuda:0')
0, tensor(75.7480, device='cuda:0'), tensor(92.7360, device='cuda:0')
0, tensor(75.8680, device='cuda:0'), tensor(92.7820, device='cuda:0')
