0, tensor(76.1460, device='cuda:0'), tensor(92.8780, device='cuda:0')
0, tensor(76.1460, device='cuda:0'), tensor(92.8780, device='cuda:0')
0, tensor(76.1460, device='cuda:0'), tensor(92.8780, device='cuda:0')
0, tensor(76.1460, device='cuda:0'), tensor(92.8780, device='cuda:0')
0, tensor(72.4140, device='cuda:0'), tensor(90.8140, device='cuda:0')
0, tensor(26.2060, device='cuda:0'), tensor(44.3360, device='cuda:0')
0, tensor(75.4220, device='cuda:0'), tensor(92.4560, device='cuda:0')
0, tensor(75.3600, device='cuda:0'), tensor(92.5020, device='cuda:0')
0, tensor(50.3420, device='cuda:0'), tensor(72.4400, device='cuda:0')
0, tensor(71.6000, device='cuda:0'), tensor(90.3360, device='cuda:0')
0, tensor(75.7460, device='cuda:0'), tensor(92.7840, device='cuda:0')
0, tensor(75.8580, device='cuda:0'), tensor(92.8080, device='cuda:0')
0, tensor(71.5140, device='cuda:0'), tensor(90.1600, device='cuda:0')
0, tensor(75.9620, device='cuda:0'), tensor(92.7920, device='cuda:0')
0, tensor(75.2320, device='cuda:0'), tensor(92.4100, device='cuda:0')
0, tensor(71.2440, device='cuda:0'), tensor(89.9020, device='cuda:0')
