0, tensor(61.2180, device='cuda:0'), tensor(82.3420, device='cuda:0')
0, tensor(0.2520, device='cuda:0'), tensor(2.7620, device='cuda:0')
0, tensor(71.7280, device='cuda:0'), tensor(90.2520, device='cuda:0')
0, tensor(72.6640, device='cuda:0'), tensor(90.9380, device='cuda:0')
0, tensor(6.3500, device='cuda:0'), tensor(13.4620, device='cuda:0')
0, tensor(60.1580, device='cuda:0'), tensor(81.3960, device='cuda:0')
0, tensor(73.0060, device='cuda:0'), tensor(91.1360, device='cuda:0')
0, tensor(74.9960, device='cuda:0'), tensor(92.2200, device='cuda:0')
0, tensor(60.4040, device='cuda:0'), tensor(81.7920, device='cuda:0')
0, tensor(73.4980, device='cuda:0'), tensor(91.5000, device='cuda:0')
0, tensor(69.6300, device='cuda:0'), tensor(89.1020, device='cuda:0')
0, tensor(58.9800, device='cuda:0'), tensor(80.3820, device='cuda:0')
0, tensor(73.0560, device='cuda:0'), tensor(90.8960, device='cuda:0')
0, tensor(63.7700, device='cuda:0'), tensor(84.2120, device='cuda:0')
0, tensor(63.2800, device='cuda:0'), tensor(83.9980, device='cuda:0')
0, tensor(58.9800, device='cuda:0'), tensor(79.9520, device='cuda:0')
0, tensor(68.8800, device='cuda:0'), tensor(88.4620, device='cuda:0')
0, tensor(73.1900, device='cuda:0'), tensor(91.3260, device='cuda:0')
0, tensor(60.7640, device='cuda:0'), tensor(81.9560, device='cuda:0')
0, tensor(74.1000, device='cuda:0'), tensor(91.7940, device='cuda:0')
0, tensor(73.9540, device='cuda:0'), tensor(91.9520, device='cuda:0')
0, tensor(60.2180, device='cuda:0'), tensor(81.5920, device='cuda:0')
0, tensor(74.4920, device='cuda:0'), tensor(92.0760, device='cuda:0')
0, tensor(66.1860, device='cuda:0'), tensor(86.4240, device='cuda:0')
0, tensor(57.8800, device='cuda:0'), tensor(78.7940, device='cuda:0')
0, tensor(70.9620, device='cuda:0'), tensor(89.4280, device='cuda:0')
0, tensor(62.0300, device='cuda:0'), tensor(83.1040, device='cuda:0')
0, tensor(70.6680, device='cuda:0'), tensor(89.7040, device='cuda:0')
0, tensor(61.6180, device='cuda:0'), tensor(82.8120, device='cuda:0')
0, tensor(65.1360, device='cuda:0'), tensor(85.7920, device='cuda:0')
0, tensor(72.3800, device='cuda:0'), tensor(90.6960, device='cuda:0')
0, tensor(63.8860, device='cuda:0'), tensor(84.6400, device='cuda:0')
0, tensor(74.1740, device='cuda:0'), tensor(91.8240, device='cuda:0')
0, tensor(74.2800, device='cuda:0'), tensor(91.9140, device='cuda:0')
0, tensor(65.8540, device='cuda:0'), tensor(86.0140, device='cuda:0')
0, tensor(74.6920, device='cuda:0'), tensor(92.1420, device='cuda:0')
0, tensor(74.9420, device='cuda:0'), tensor(92.3940, device='cuda:0')
0, tensor(66.7620, device='cuda:0'), tensor(86.6020, device='cuda:0')
0, tensor(74.7880, device='cuda:0'), tensor(92.1200, device='cuda:0')
0, tensor(74.9520, device='cuda:0'), tensor(92.3040, device='cuda:0')
0, tensor(67.6700, device='cuda:0'), tensor(87.3680, device='cuda:0')
0, tensor(74.2200, device='cuda:0'), tensor(91.9540, device='cuda:0')
0, tensor(74.3940, device='cuda:0'), tensor(91.9580, device='cuda:0')
0, tensor(66.4100, device='cuda:0'), tensor(86.6760, device='cuda:0')
0, tensor(71.5740, device='cuda:0'), tensor(90.3100, device='cuda:0')
0, tensor(70.5400, device='cuda:0'), tensor(89.4760, device='cuda:0')
0, tensor(75.1700, device='cuda:0'), tensor(92.3620, device='cuda:0')
0, tensor(60.6800, device='cuda:0'), tensor(81.5700, device='cuda:0')
0, tensor(71.2620, device='cuda:0'), tensor(90.0160, device='cuda:0')
0, tensor(73.5120, device='cuda:0'), tensor(91.2940, device='cuda:0')
0, tensor(67.9900, device='cuda:0'), tensor(87.4340, device='cuda:0')
0, tensor(72.9500, device='cuda:0'), tensor(90.9660, device='cuda:0')
0, tensor(73.5620, device='cuda:0'), tensor(91.6240, device='cuda:0')
