0, tensor(70.2720, device='cuda:0'), tensor(89.2320, device='cuda:0')
0, tensor(9.1580, device='cuda:0'), tensor(17.3960, device='cuda:0')
0, tensor(74.5760, device='cuda:0'), tensor(91.9680, device='cuda:0')
0, tensor(74.6660, device='cuda:0'), tensor(92.1000, device='cuda:0')
0, tensor(27.4240, device='cuda:0'), tensor(46.1960, device='cuda:0')
0, tensor(68.8380, device='cuda:0'), tensor(88.0160, device='cuda:0')
0, tensor(75.1200, device='cuda:0'), tensor(92.3780, device='cuda:0')
0, tensor(75.6780, device='cuda:0'), tensor(92.7140, device='cuda:0')
0, tensor(69.2740, device='cuda:0'), tensor(88.5800, device='cuda:0')
0, tensor(75.4680, device='cuda:0'), tensor(92.5500, device='cuda:0')
0, tensor(73.2580, device='cuda:0'), tensor(91.3040, device='cuda:0')
0, tensor(67.8760, device='cuda:0'), tensor(87.2220, device='cuda:0')
0, tensor(74.9960, device='cuda:0'), tensor(92.1920, device='cuda:0')
0, tensor(72.9520, device='cuda:0'), tensor(91.0720, device='cuda:0')
0, tensor(71.5420, device='cuda:0'), tensor(90.1220, device='cuda:0')
0, tensor(70.1280, device='cuda:0'), tensor(89.0020, device='cuda:0')
0, tensor(74.5160, device='cuda:0'), tensor(92.0560, device='cuda:0')
0, tensor(75.3240, device='cuda:0'), tensor(92.4560, device='cuda:0')
0, tensor(71.5220, device='cuda:0'), tensor(89.9340, device='cuda:0')
0, tensor(75.4740, device='cuda:0'), tensor(92.6700, device='cuda:0')
0, tensor(75.5580, device='cuda:0'), tensor(92.6400, device='cuda:0')
0, tensor(71.3520, device='cuda:0'), tensor(89.9000, device='cuda:0')
0, tensor(75.5860, device='cuda:0'), tensor(92.6840, device='cuda:0')
0, tensor(73.3880, device='cuda:0'), tensor(91.4660, device='cuda:0')
0, tensor(71.1920, device='cuda:0'), tensor(89.6400, device='cuda:0')
0, tensor(74.9860, device='cuda:0'), tensor(92.1380, device='cuda:0')
0, tensor(73.4260, device='cuda:0'), tensor(91.2500, device='cuda:0')
0, tensor(74.8340, device='cuda:0'), tensor(92.2360, device='cuda:0')
0, tensor(72.8800, device='cuda:0'), tensor(91.0700, device='cuda:0')
0, tensor(75.1260, device='cuda:0'), tensor(92.4300, device='cuda:0')
0, tensor(75.4580, device='cuda:0'), tensor(92.6220, device='cuda:0')
0, tensor(73.5920, device='cuda:0'), tensor(91.3640, device='cuda:0')
0, tensor(75.7620, device='cuda:0'), tensor(92.7440, device='cuda:0')
0, tensor(75.7780, device='cuda:0'), tensor(92.8180, device='cuda:0')
0, tensor(74.3480, device='cuda:0'), tensor(91.7560, device='cuda:0')
0, tensor(75.8540, device='cuda:0'), tensor(92.8100, device='cuda:0')
0, tensor(75.8840, device='cuda:0'), tensor(92.7920, device='cuda:0')
0, tensor(74.5460, device='cuda:0'), tensor(91.9020, device='cuda:0')
0, tensor(75.9120, device='cuda:0'), tensor(92.7420, device='cuda:0')
0, tensor(75.8840, device='cuda:0'), tensor(92.7880, device='cuda:0')
0, tensor(74.7400, device='cuda:0'), tensor(92.1320, device='cuda:0')
0, tensor(75.7880, device='cuda:0'), tensor(92.7980, device='cuda:0')
0, tensor(75.7500, device='cuda:0'), tensor(92.7260, device='cuda:0')
0, tensor(74.8100, device='cuda:0'), tensor(92.1820, device='cuda:0')
0, tensor(75.2340, device='cuda:0'), tensor(92.4780, device='cuda:0')
0, tensor(75.2060, device='cuda:0'), tensor(92.3560, device='cuda:0')
0, tensor(75.9240, device='cuda:0'), tensor(92.7980, device='cuda:0')
0, tensor(74.3120, device='cuda:0'), tensor(91.7660, device='cuda:0')
0, tensor(75.3080, device='cuda:0'), tensor(92.5380, device='cuda:0')
0, tensor(75.7340, device='cuda:0'), tensor(92.7440, device='cuda:0')
0, tensor(75.2200, device='cuda:0'), tensor(92.3680, device='cuda:0')
0, tensor(75.6100, device='cuda:0'), tensor(92.6660, device='cuda:0')
0, tensor(75.6820, device='cuda:0'), tensor(92.6860, device='cuda:0')
